Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",boxscore,CHC,,PIT,L,3,5,,0-1,4,1,Howard,Hendricks,Rodriguez,4:00,D,"10,343",1.06,-,
2,"Saturday, Apr 3",boxscore,CHC,,PIT,W,5,1,,1-Jan,1,Tied,Arrieta,Anderson,,3:08,D,"10,343",,+,
3,"Sunday, Apr 4",boxscore,CHC,,PIT,W,4,3,,1-Feb,1,Tied,Davies,Keller,Kimbrel,3:09,D,"10,343",1.07,++,
4,"Monday, Apr 5",boxscore,CHC,,MIL,W,5,3,,1-Mar,1,Tied,Williams,Anderson,Mills,2:49,N,"10,343",1.16,+++,
5,"Tuesday, Apr 6",boxscore,CHC,,MIL,L,0,4,,2-Mar,2,1,Peralta,Alzolay,,3:06,N,"10,343",1.14,-,
6,"Wednesday, Apr 7",boxscore,CHC,,MIL,L,2,4,10,3-Mar,3,2,Hader,Workman,Boxberger,3:32,D,"10,343",1.1,--,
7,"Thursday, Apr 8",boxscore,CHC,@,PIT,W,4,2,,3-Apr,3,1.5,Arrieta,Anderson,Kimbrel,3:15,D,"7,749",0.99,+,
8,"Saturday, Apr 10",boxscore,CHC,@,PIT,L,2,8,,4-Apr,3,2,Keller,Davies,,3:07,N,"7,052",1.07,-,
9,"Sunday, Apr 11",boxscore,CHC,@,PIT,L,1,7,,5-Apr,4,2,Brubaker,Williams,,3:02,D,"6,851",1.01,--,
10,"Monday, Apr 12",boxscore,CHC,@,MIL,L,3,6,,6-Apr,4,3,Peralta,Alzolay,Hader,3:04,N,"11,209",1.01,---,
11,"Tuesday, Apr 13",boxscore,CHC,@,MIL,W,3,2,,6-May,4,2,Strop,Suter,Kimbrel,3:07,N,"11,025",0.97,+,
12,"Wednesday, Apr 14",boxscore,CHC,@,MIL,L,0,7,,7-May,4,2,Burnes,Arrieta,,3:06,D,"10,598",1.02,-,
13,"Friday, Apr 16",boxscore,CHC,,ATL,L,2,5,,8-May,5,3,Tomlin,Davies,Smith,4:02,D,"10,343",0.88,--,
14,"Saturday, Apr 17",boxscore,CHC,,ATL,W,13,4,,8-Jun,4,3,Williams,Ynoa,,3:23,D,"10,343",0.81,+,
15,"Sunday, Apr 18",boxscore,CHC,,ATL,L,4,13,,9-Jun,5,3,Wilson,Hendricks,,3:26,N,"10,343",0.85,-,
16,"Tuesday, Apr 20",boxscore,CHC,,NYM,W,3,1,,9-Jul,4,2.5,Arrieta,Walker,Kimbrel,3:32,N,"10,137",0.86,+,
17,"Wednesday, Apr 21",boxscore,CHC,,NYM,W,16,4,,9-Aug,3,2.5,Mills,Peterson,,3:27,N,"10,196",0.91,++,
18,"Thursday, Apr 22",boxscore,CHC,,NYM,W-wo,4,3,10,9-Sep,2,2,Winkler,Diaz,,3:41,N,"10,343",0.89,+++,
19,"Friday, Apr 23",boxscore,CHC,,MIL,W,15,2,,9-Oct,2,1,Hendricks,Anderson,,3:06,D,"10,343",1.12,++++,
20,"Saturday, Apr 24",boxscore,CHC,,MIL,L,3,4,,10-Oct,2,2,Suter,Chafin,Hader,3:32,D,"10,343",1.17,-,
21,"Sunday, Apr 25",boxscore,CHC,,MIL,L,0,6,,11-Oct,4,3,Woodruff,Arrieta,,3:23,D,"10,343",1.12,--,
22,"Monday, Apr 26",boxscore,CHC,@,ATL,L,7,8,,12-Oct,4,3,Morton,Workman,Smith,3:29,N,"17,956",0.87,---,
23,"Tuesday, Apr 27",boxscore,CHC,@,ATL,L,0,5,,13-Oct,5,4,Anderson,Williams,,2:46,N,"17,603",0.83,----,
24,"Wednesday, Apr 28",boxscore,CHC,@,ATL,L,0,10,,14-Oct,5,4,Ynoa,Hendricks,,2:56,N,"18,709",0.75,-----,
25,"Thursday, Apr 29",boxscore,CHC,@,ATL,W,9,3,,14-Nov,5,4,Alzolay,Wilson,,3:15,N,"19,661",0.74,+,
26,"Friday, Apr 30",boxscore,CHC,@,CIN,L,6,8,,15-Nov,5,5,Miley,Arrieta,Antone,3:21,N,"16,090",0.88,-,
27,"Saturday, May 1",boxscore,CHC,@,CIN,W,3,2,,15-Dec,5,5,Brothers,Castillo,Kimbrel,3:17,D,"17,077",0.79,+,
28,"Sunday, May 2",boxscore,CHC,@,CIN,L-wo,12,13,10,16-Dec,5,5,Hendrix,Kimbrel,,3:57,D,"16,755",0.86,-,
29,"Tuesday, May 4 (1)",boxscore,CHC,,LAD,W,7,1,7,13-16,3,3.5,Hendricks,Kershaw,,2:17,D,"10,295",0.77,+,
30,"Tuesday, May 4 (2)",boxscore,CHC,,LAD,W-wo,4,3,9,14-16,3,3.5,Steele,Cleavinger,,3:46,N,"10,343",0.8,++,
31,"Wednesday, May 5",boxscore,CHC,,LAD,W-wo,6,5,11,15-16,3,3,Mills,Cleavinger,,4:23,N,"10,343",0.89,+++,
32,"Friday, May 7",boxscore,CHC,,PIT,W,3,2,,16-16,3,2.5,Davies,Cahill,Brothers,3:07,D,"10,343",1,++++,
33,"Saturday, May 8",boxscore,CHC,,PIT,W,3,2,,17-16,3,2.5,Thompson,Howard,Kimbrel,3:13,D,"10,343",1.08,+++++,
34,"Sunday, May 9",boxscore,CHC,,PIT,L,5,6,,17-17,3,3.5,Anderson,Hendricks,Rodriguez,3:03,D,"10,343",1.08,-,
35,"Tuesday, May 11",boxscore,CHC,@,CLE,L,2,3,,17-18,3,4.5,Bieber,Alzolay,Clase,2:56,N,"8,024",0.92,--,
36,"Wednesday, May 12",boxscore,CHC,@,CLE,L-wo,1,2,10,17-19,4,4.5,Karinchak,Thompson,,3:50,D,"8,589",0.84,---,
37,"Friday, May 14",boxscore,CHC,@,DET,W,4,2,,18-19,3,4,Arrieta,Skubal,Kimbrel,2:31,N,"8,000",0.81,+,
38,"Saturday, May 15",boxscore,CHC,@,DET,L-wo,8,9,10,18-20,4,4,Fulmer,Kimbrel,,4:06,D,"8,000",0.94,-,
39,"Sunday, May 16",boxscore,CHC,@,DET,W,5,1,,19-20,4,3,Hendricks,Boyd,,2:52,D,"8,000",0.91,+,
40,"Monday, May 17",boxscore,CHC,,WSN,W,7,3,,20-20,3,2.5,Alzolay,Lester,,2:53,N,"11,144",0.95,++,
41,"Tuesday, May 18",boxscore,CHC,,WSN,W,6,3,,21-20,2,2.5,Thompson,Harris,Kimbrel,3:22,N,"11,142",1.03,+++,
42,"Wednesday, May 19",boxscore,CHC,,WSN,L,3,4,,21-21,2,3.5,Scherzer,Arrieta,Hand,3:48,N,"11,145",1.08,-,
43,"Thursday, May 20",boxscore,CHC,,WSN,W,5,2,,22-21,2,3,Steele,Ross,Kimbrel,3:07,D,"11,143",1.05,+,
44,"Friday, May 21",boxscore,CHC,@,STL,W,12,3,,23-21,2,2,Hendricks,Helsley,,3:17,N,"24,282",1.39,++,
45,"Saturday, May 22",boxscore,CHC,@,STL,L,1,2,,23-22,2,3,Cabrera,Alzolay,Reyes,2:47,N,"26,027",1.43,-,
46,"Sunday, May 23",boxscore,CHC,@,STL,W,2,1,10,24-22,2,2,Kimbrel,Reyes,,3:38,N,"24,082",1.39,+,
47,"Tuesday, May 25",boxscore,CHC,@,PIT,W,4,3,,25-22,2,0.5,Arrieta,Ponce,Kimbrel,2:59,N,"6,750",1.23,++,
48,"Wednesday, May 26",boxscore,CHC,@,PIT,W,4,1,,26-22,2,0.5,Williams,Crowe,Kimbrel,2:54,N,"5,660",1.29,+++,
49,"Thursday, May 27",boxscore,CHC,@,PIT,W,5,3,,27-22,2,0.5,Hendricks,Anderson,Tepera,3:01,D,"7,202",1.3,++++,
50,"Friday, May 28",boxscore,CHC,,CIN,W,1,0,,28-22,2,0.5,Alzolay,Gutiérrez,Kimbrel,2:57,D,"18,478",1.39,+++++,
51,"Saturday, May 29",boxscore,CHC,,CIN,W,10,2,,29-22,2,0.5,Thompson,Castillo,,3:13,D,"24,275",1.4,++++++,
52,"Sunday, May 30",boxscore,CHC,,CIN,L,1,5,,29-23,2,0.5,Mahle,Arrieta,Antone,3:27,D,"24,824",1.4,-,
53,"Monday, May 31",boxscore,CHC,,SDP,W,7,2,,30-23,1,up 0.5,Stewart,Paddack,,2:53,D,"24,824",1.35,+,
54,"Tuesday, Jun 1",boxscore,CHC,,SDP,W,4,3,,31-23,1,up 0.5,Hendricks,Weathers,Kimbrel,2:52,N,"24,824",1.36,++,
55,"Wednesday, Jun 2",boxscore,CHC,,SDP,W,6,1,,32-23,1,up 1.5,Alzolay,Johnson,,3:16,D,"22,056",1.39,+++,
56,"Thursday, Jun 3",boxscore,CHC,@,SFG,L,2,7,,32-24,1,up 1.5,DeSclafani,Davies,,3:05,N,"10,737",1.38,-,
57,"Friday, Jun 4",boxscore,CHC,@,SFG,L,5,8,,32-25,1,up 1.0,Menez,Arrieta,Rogers,3:14,N,"11,524",1.39,--,
58,"Saturday, Jun 5",boxscore,CHC,@,SFG,L,3,4,,32-26,1,Tied,Gausman,Stewart,Rogers,3:04,D,"12,792",1.42,---,
59,"Sunday, Jun 6",boxscore,CHC,@,SFG,W,4,3,,33-26,1,Tied,Hendricks,Cueto,Kimbrel,3:01,D,"14,089",1.4,+,
60,"Monday, Jun 7",boxscore,CHC,@,SDP,L,4,9,,33-27,2,0.5,Weathers,Alzolay,,3:42,N,"16,045",1.46,-,
61,"Tuesday, Jun 8",boxscore,CHC,@,SDP,W,7,1,,34-27,2,0.5,Davies,Lamet,,2:51,N,"16,207",1.37,+,
62,"Wednesday, Jun 9",boxscore,CHC,@,SDP,W,3,1,,35-27,1,up 0.5,Brothers,Darvish,Kimbrel,2:58,D,"16,482",1.47,++,
63,"Friday, Jun 11",boxscore,CHC,,STL,W,8,5,,36-27,1,Tied,Nance,Cabrera,Kimbrel,3:04,D,"35,112",1.63,+++,
64,"Saturday, Jun 12",boxscore,CHC,,STL,W,7,2,,37-27,1,Tied,Hendricks,Gant,Kimbrel,3:19,N,"39,095",1.58,++++,
