Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",boxscore,SFG,@,SEA,L-wo,7,8,10,0-1,3,1,Misiewicz,Alvarez,,3:45,N,"8,174",0.94,-,
2,"Friday, Apr 2",boxscore,SFG,@,SEA,W,6,3,,1-Jan,2,1,Peralta,Steckenrider,McGee,3:16,N,"8,392",0.85,+,
3,"Saturday, Apr 3",boxscore,SFG,@,SEA,L,0,4,,2-Jan,3,2,Flexen,Webb,Montero,2:59,N,"8,651",,-,
4,"Monday, Apr 5",boxscore,SFG,@,SDP,W,3,2,,2-Feb,3,1.5,Baragar,Stammen,McGee,3:35,N,"10,350",1.07,+,
5,"Tuesday, Apr 6",boxscore,SFG,@,SDP,L,1,3,,3-Feb,3,2.5,Kela,Wisler,Melancon,2:53,N,"10,350",1.04,-,
6,"Wednesday, Apr 7",boxscore,SFG,@,SDP,W,3,2,10,3-Mar,3,1.5,McGee,Hill,Peralta,3:21,D,"10,350",1.04,+,
7,"Friday, Apr 9",boxscore,SFG,,COL,W,3,1,,3-Apr,3,1.5,Cueto,Gomber,McGee,2:54,D,"7,390",1.07,++,
8,"Saturday, Apr 10",boxscore,SFG,,COL,W,4,3,,3-May,3,1.5,Baragar,Bowden,McGee,3:13,D,"6,176",1.11,+++,
9,"Sunday, Apr 11",boxscore,SFG,,COL,W,4,0,,3-Jun,3,1.5,DeSclafani,Marquez,,3:00,D,"6,560",1.09,++++,
10,"Monday, Apr 12",boxscore,SFG,,CIN,L,0,3,,4-Jun,3,2,Miley,Sanchez,Sims,2:35,N,"3,662",1.11,-,
11,"Tuesday, Apr 13",boxscore,SFG,,CIN,W,7,6,,4-Jul,3,2,Peralta,PŽrez,McGee,3:11,N,"3,673",1,+,
12,"Wednesday, Apr 14",boxscore,SFG,,CIN,W,3,0,,4-Aug,2,2,Cueto,Mahle,McGee,2:30,D,"6,409",1.05,++,
13,"Friday, Apr 16",boxscore,SFG,@,MIA,L,1,4,,5-Aug,2,3.5,Bass,Wisler,Garcia,2:44,N,"5,734",1.1,-,
14,"Saturday, Apr 17",boxscore,SFG,@,MIA,L-wo,6,7,10,6-Aug,2,4.5,Garcia,Garcia,,3:56,N,"6,014",1.03,--,
15,"Sunday, Apr 18",boxscore,SFG,@,MIA,W,1,0,,6-Sep,2,3.5,Wood,Lopez,Rogers,2:53,D,"6,129",0.99,+,
16,"Monday, Apr 19",boxscore,SFG,@,PHI,W,2,0,,6-Oct,2,2.5,Gausman,Anderson,Peralta,3:10,N,"9,510",1.03,++,
17,"Tuesday, Apr 20",boxscore,SFG,@,PHI,W,10,7,,6-Nov,2,2.5,Alvarez,Brogdon,,3:16,N,"10,584",1.19,+++,
