year,time_9i
2023,2:41
2022,3:03
2021,3:10
2020,3:07
2019,3:05
2018,3:00
2017,3:05
2016,3:00
2015,2:56
2014,3:02
2013,2:58
2012,2:55
2011,2:51
2010,2:50
2009,2:51
2008,2:50
2007,2:51
2006,2:48
2005,2:46
2004,2:47
2003,2:46
2002,2:52
2001,2:54
2000,2:57
1999,2:53
Year,Time/9I
1998,2:47
1997,2:52
1996,2:51
1995,2:50
1994,2:53
1993,2:48
1992,2:49
1991,2:49
1990,2:47
1989,2:45
1988,2:45
1987,2:47
1986,2:44
1985,2:39
1984,2:35
1983,2:36
1982,2:35
1981,2:33
1980,2:33
1979,2:31
1978,2:26
1977,2:28
1976,2:24
1975,2:25
1974,2:25
Year,Time/9I
1973,2:26
1972,2:23
1971,2:25
1970,2:30
1969,2:28
1968,2:29
1967,2:32
1966,2:31
1965,2:31
1964,2:30
1963,2:25
1962,2:34
1961,2:34
1960,2:33
1959,2:31
1958,2:28
1957,2:28
1956,2:28
1955,2:28
1954,2:26
1953,2:23
1952,2:21
1951,2:19
1950,2:19
1949,2:16
Year,Time/9I
1948,2:13
1947,2:09
1946,2:05
1945,2:00
1944,1:58
1943,1:59
1942,2:02
1941,2:06
1940,2:04
1939,2:04
1938,2:05
1937,2:04
1936,2:04
1935,2:00
1934,2:01
1933,1:55
1932,1:56
1931,1:53
1930,1:57
1929,1:55
1928,1:52
1927,1:54
1926,1:56
1925,1:53
1924,1:52
Year,Time/9I
1923,1:52
1922,1:51
1921,1:51
1920,1:48
1919,
1918,
1917,1:34
1916,
1915,1:51
1914,1:54
1913,1:54
1912,1:54
1911,1:54
1910,1:52
1909,1:47
1908,1:45
1907,
1906,1:47
1905,1:41
1904,
1903,
1902,
1901,1:47
1900,
1899,
Year,Time/9I
1898,
1897,
1896,
1895,
1894,
1893,
1892,
1891,
1890,
1889,
1888,
1887,
1886,
1885,
1884,
1883,
1882,
1881,
1880,
1879,
1878,
1877,
1876,
