openings_total,openings_total_away,openings_total_home,openings_total_lost,games_total,games_away_total,games_home_total,year,attendance_average_away,attendance_average_home,attendance_average_ytd,attendance_high,attendance_high_date,attendance_low,attendance_low_date,attendance_opening_average,attendance_total,attendance_total_away,attendance_total_home,attendance_high_game_game_pk,attendance_high_game_link,attendance_high_game_day_night,attendance_high_game_content_link,attendance_low_game_game_pk,attendance_low_game_link,attendance_low_game_day_night,attendance_low_game_content_link,game_type_id,game_type_description,team_id,team_name,team_link
161,81,80,0,163,82,81,2024,30228,11529,20937,46889,2024-09-26T00:00:00,2895,2024-05-08T00:00:00,11426,3370789,2448503,922286,745609,/api/v1.1/game/745609/feed/live,day,/api/v1/game/745609/content,745664,/api/v1.1/game/745664/feed/live,day,/api/v1/game/745664/content,R,Regular Season,133,Oakland Athletics,/api/v1/teams/133
161,80,81,0,164,82,82,2024,31058,21239,26118,39530,2024-07-19T00:00:00,8461,2024-04-22T00:00:00,21239,4204963,2484602,1720361,745481,/api/v1.1/game/745481/feed/live,day,/api/v1/game/745481/content,745519,/api/v1.1/game/745519/feed/live,day,/api/v1/game/745519/content,R,Regular Season,134,Pittsburgh Pirates,/api/v1/teams/134
162,81,81,0,163,82,81,2024,31243,41118,36181,47559,2024-07-30T00:00:00,15952,2024-03-20T00:00:00,41118,5861257,2530712,3330545,745389,/api/v1.1/game/745389/feed/live,day,/api/v1/game/745389/content,745444,/api/v1.1/game/745444/feed/live,day,/api/v1/game/745444/content,R,Regular Season,135,San Diego Padres,/api/v1/teams/135
162,81,81,0,163,82,81,2024,27259,31553,29406,45584,2024-06-16T00:00:00,14984,2024-05-13T00:00:00,31553,4763816,2208003,2555813,745242,/api/v1.1/game/745242/feed/live,day,/api/v1/game/745242/content,745256,/api/v1.1/game/745256/feed/live,day,/api/v1/game/745256/content,R,Regular Season,136,Seattle Mariners,/api/v1/teams/136
161,81,80,0,162,81,81,2024,31052,33097,32068,41187,2024-09-01T00:00:00,22042,2024-07-27T00:00:00,32665,5162934,2515198,2647736,745292,/api/v1.1/game/745292/feed/live,day,/api/v1/game/745292/content,745307,/api/v1.1/game/745307/feed/live,day,/api/v1/game/745307/content,R,Regular Season,137,San Francisco Giants,/api/v1/teams/137
161,80,81,0,169,83,86,2024,29510,35532,32540,47273,2024-04-04T00:00:00,8332,2024-06-20T00:00:00,35532,5238884,2360769,2878115,745200,/api/v1.1/game/745200/feed/live,day,/api/v1/game/745200/content,745164,/api/v1.1/game/745164/feed/live,day,/api/v1/game/745164/content,R,Regular Season,138,St. Louis Cardinals,/api/v1/teams/138
162,81,81,0,162,81,81,2024,29892,16515,23204,25025,2024-03-28T00:00:00,10531,2024-09-03T00:00:00,16515,3758974,2421235,1337739,745116,/api/v1.1/game/745116/feed/live,day,/api/v1/game/745116/content,745047,/api/v1.1/game/745047/feed/live,day,/api/v1/game/745047/content,R,Regular Season,139,Tampa Bay Rays,/api/v1/teams/139
159,78,81,0,164,83,81,2024,30501,32735,31639,42130,2024-03-28T00:00:00,18714,2024-04-09T00:00:00,32735,5030651,2379098,2651553,745039,/api/v1.1/game/745039/feed/live,day,/api/v1/game/745039/content,745030,/api/v1.1/game/745030/feed/live,day,/api/v1/game/745030/content,R,Regular Season,140,Texas Rangers,/api/v1/teams/140
162,81,81,0,164,83,81,2024,28303,33102,30702,41148,2024-07-25T00:00:00,22254,2024-09-23T00:00:00,33102,4973787,2292551,2681236,744907,/api/v1.1/game/744907/feed/live,day,/api/v1/game/744907/content,744885,/api/v1.1/game/744885/feed/live,day,/api/v1/game/744885/content,R,Regular Season,141,Toronto Blue Jays,/api/v1/teams/141
160,79,81,0,167,84,83,2024,26344,24094,25205,41679,2024-07-20T00:00:00,11223,2024-04-23T00:00:00,24094,4032781,2081165,1951616,745880,/api/v1.1/game/745880/feed/live,day,/api/v1/game/745880/content,745917,/api/v1.1/game/745917/feed/live,day,/api/v1/game/745917/content,R,Regular Season,142,Minnesota Twins,/api/v1/teams/142
