team,g,avg_wins,win_perc_avg
Dodgers,162,101.7,0.628
Braves,162,92.9,0.573
Phillies,162,88.4,0.546
Yankees,162,87.3,0.539
Mets,162,89.5,0.552
Diamondbacks,162,87.5,0.540
Red Sox,162,83.4,0.515
Rangers,162,84.4,0.521
Mariners,162,86.1,0.531
Astros,162,86.6,0.535
Cubs,162,87.1,0.538
Orioles,162,85.3,0.527
Twins,162,83.1,0.513
Blue Jays,162,80.9,0.499
Padres,162,86.1,0.531
Tigers,162,82,0.506
Rays,162,81.3,0.502
Royals,162,81.1,0.501
Giants,162,80.5,0.497
Brewers,162,83.4,0.515
Cardinals,162,78.2,0.483
Reds,162,77.8,0.480
Pirates,162,75.6,0.467
Guardians,162,81.8,0.505
Athletics,162,72.2,0.446
Angels,162,72.2,0.446
Nationals,162,71.9,0.444
Marlins,162,65.1,0.402
Rockies,162,60.5,0.373
White Sox,162,59.3,0.366
