Park,Elevation (Meters),Avg. Temp (F) 2024,Avg. Humidity (%),Air Density (kg/m^3)
Oracle Park,4,63.1,74.2,1.215
T-Mobile Park,6,63.7,65.5,1.208
Fenway Park,2,67.8,66.4,1.205
RingCentral Coliseum,2,67.6,65,1.205
Petco Park,7,70.1,72.3,1.199
Citi Field,3,70.9,59.2,1.197
Yankee Stadium,7,71.2,63.4,1.196
Citizens Bank Park,5,73.2,66.3,1.192
Angel Stadium,47,71,65.5,1.191
Camden Yards,3,74.1,63.6,1.19
Nationals Park,8,76.3,64.3,1.185
Rogers Centre,83,67.8,65,1.181
Dodger Stadium,154,70.2,65.3,1.178
Sutter Health Park,8,76.1,43.9,1.178
Wrigley Field,183,71.3,59.1,1.172
Rate Field,180,71.9,60.1,1.17
Comerica Park,184,73.7,62.8,1.166
Great American BP,151,76,62.5,1.166
Steinbrenner Field,8,82.1,66.8,1.165
American Family Field,187,67.1,66.5,1.165
Target Field,252,69.8,60.4,1.165
Busch Stadium,137,77.2,60.3,1.165
Progressive Field,205,73.4,65.3,1.164
PNC Park,220,73.4,63.8,1.162
Kauffman Stadium,275,74,61.1,1.153
Truist Park,304,77.1,65.2,1.142
Coors Field,1584,72.4,36.4,0.987
