team,g,w,l,win_perc,rdif,rs_g,ra_g
Dodgers,162,96,66,0.593,144,4.91,4.02
Braves,162,93,69,0.574,116,4.85,4.14
Phillies,162,87,75,0.54,62,4.65,4.27
Yankees,162,87,75,0.536,56,4.67,4.32
Mets,162,86,76,0.533,52,4.71,4.38
Diamondbacks,162,86,76,0.53,46,4.56,4.28
Red Sox,162,85,77,0.524,38,4.61,4.38
Rangers,162,85,77,0.522,34,4.57,4.37
Mariners,162,84,78,0.518,27,4.27,4.1
Astros,162,84,78,0.517,26,4.55,4.39
Cubs,162,84,78,0.516,24,4.5,4.35
Orioles,162,83,79,0.515,24,4.63,4.48
Twins,162,83,79,0.511,17,4.39,4.29
Blue Jays,162,82,80,0.509,14,4.5,4.42
Padres,162,82,80,0.509,13,4.43,4.35
Tigers,162,82,80,0.505,7,4.22,4.18
Rays,162,82,80,0.504,5,4.41,4.38
Royals,162,81,81,0.5,0,4.48,4.48
Giants,162,81,81,0.5,0,4.28,4.28
Brewers,162,81,81,0.5,-1,4.39,4.4
Cardinals,162,79,83,0.487,-19,4.34,4.46
Reds,162,78,84,0.484,-26,4.57,4.73
Pirates,162,78,84,0.483,-26,4.25,4.41
Guardians,162,78,84,0.479,-31,4.29,4.49
Athletics,162,77,85,0.472,-43,4.4,4.67
Angels,162,76,86,0.467,-52,4.46,4.79
Nationals,162,73,89,0.451,-76,4.25,4.72
Marlins,162,71,91,0.441,-90,4.14,4.69
Rockies,162,65,97,0.401,-163,4.33,5.34
White Sox,162,63,99,0.389,-176,4.03,5.11
