team,avg_wins,win_perc_avg
Dodgers,99-63,0.611
Mets,90-72,0.556
Braves,89-73,0.549
Mariners,88-74,0.543
Phillies,88-74,0.543
Yankees,87-75,0.537
Tigers,86-76,0.531
Cubs,86-76,0.531
Blue Jays,85-77,0.525
Red Sox,85-77,0.525
Orioles,84-78,0.519
Pirates,84-78,0.519
Giants,82-80,0.506
Brewers,82-80,0.506
Diamondbacks,82-80,0.506
Royals,81-81,0.500
Rangers,81-81,0.500
Astros,80-82,0.494
Rays,80-82,0.494
Padres,80-82,0.494
Athletics,79-83,0.488
Twins,78-84,0.481
Reds,77-85,0.475
Guardians,76-86,0.469
Cardinals,75-87,0.463
Marlins,75-87,0.463
Angels,72-90,0.444
Nationals,68-94,0.420
White Sox,67-95,0.414
Rockies,65-97,0.401
