team,score,opp_score,run_diff,rd_running,game_count
Los Angeles Dodgers,4,1,3,3,1
Chicago Cubs,1,4,-3,-3,1
Los Angeles Dodgers,6,3,3,6,2
Chicago Cubs,3,6,-3,-6,2
Milwaukee Brewers,2,4,-2,-2,1
New York Yankees,4,2,2,2,1
Baltimore Orioles,12,2,10,10,1
Toronto Blue Jays,2,12,-10,-10,1
Boston Red Sox,5,2,3,3,1
Texas Rangers,2,5,-3,-3,1
Philadelphia Phillies,7,3,4,4,1
Washington Nationals,3,7,-4,-4,1
Cleveland Guardians,7,4,3,3,1
Kansas City Royals,4,7,-3,-3,1
New York Mets,1,3,-2,-2,1
Houston Astros,3,1,2,2,1
San Francisco Giants,6,4,2,2,1
Cincinnati Reds,4,6,-2,-2,1
Atlanta Braves,4,7,-3,-3,1
San Diego Padres,7,4,3,3,1
Los Angeles Angels,1,8,-7,-7,1
Chicago White Sox,8,1,7,7,1
Pittsburgh Pirates,4,5,-1,-1,1
Miami Marlins,5,4,1,1,1
Minnesota Twins,3,5,-2,-2,1
St. Louis Cardinals,5,3,2,2,1
Detroit Tigers,4,5,-1,-1,1
Los Angeles Dodgers,5,4,1,7,3
Chicago Cubs,10,6,4,-2,3
Arizona Diamondbacks,6,10,-4,-4,1
Athletics,2,4,-2,-2,1
Seattle Mariners,4,2,2,2,1
Colorado Rockies,2,3,-1,-1,1
Tampa Bay Rays,3,2,1,1,1
Baltimore Orioles,2,8,-6,4,2
Toronto Blue Jays,8,2,6,-4,2
Pittsburgh Pirates,4,3,1,0,2
Miami Marlins,3,4,-1,0,2
Boston Red Sox,1,4,-3,0,2
Texas Rangers,4,1,3,0,2
New York Mets,3,1,2,0,2
Houston Astros,1,3,-2,0,2
Chicago Cubs,1,8,-7,-9,4
Arizona Diamondbacks,8,1,7,3,2
Athletics,7,0,7,5,2
Seattle Mariners,0,7,-7,-5,2
Atlanta Braves,3,4,-1,-4,2
San Diego Padres,4,3,1,4,2
Detroit Tigers,5,8,-3,-4,2
Los Angeles Dodgers,8,5,3,10,4
Milwaukee Brewers,9,20,-11,-13,2
New York Yankees,20,9,11,13,2
Los Angeles Angels,1,0,1,-6,2
Chicago White Sox,0,1,-1,6,2
Minnesota Twins,1,5,-4,-6,2
St. Louis Cardinals,5,1,4,6,2
Baltimore Orioles,9,5,4,8,3
Toronto Blue Jays,5,9,-4,-8,3
Philadelphia Phillies,11,6,5,9,2
Washington Nationals,6,11,-5,-9,2
Cleveland Guardians,3,4,-1,2,2
Kansas City Royals,4,3,1,-2,2
San Francisco Giants,2,3,-1,1,2
Cincinnati Reds,3,2,1,-1,2
Colorado Rockies,2,1,1,0,2
Tampa Bay Rays,1,2,-1,0,2
Pittsburgh Pirates,4,5,-1,-1,3
Miami Marlins,5,4,1,1,3
Boston Red Sox,3,4,-1,-1,3
Texas Rangers,4,3,1,1,3
New York Mets,1,2,-1,-1,3
Houston Astros,2,1,1,1,3
Atlanta Braves,0,1,-1,-5,3
San Diego Padres,1,0,1,5,3
Chicago Cubs,4,3,1,-8,5
Arizona Diamondbacks,3,4,-1,2,3
Detroit Tigers,3,7,-4,-8,3
Los Angeles Dodgers,7,3,4,14,5
Athletics,4,2,2,7,3
Seattle Mariners,2,4,-2,-7,3
Philadelphia Phillies,1,5,-4,5,3
Washington Nationals,5,1,4,-5,3
Milwaukee Brewers,3,12,-9,-22,3
New York Yankees,12,3,9,22,3
Baltimore Orioles,1,3,-2,6,4
Toronto Blue Jays,3,1,2,-6,4
San Francisco Giants,6,3,3,4,3
Cincinnati Reds,3,6,-3,-4,3
Colorado Rockies,4,6,-2,-2,3
Tampa Bay Rays,6,4,2,2,3
Pittsburgh Pirates,2,3,-1,-2,4
Miami Marlins,3,2,1,2,4
Cleveland Guardians,6,2,4,6,3
Kansas City Royals,2,6,-4,-6,3
Los Angeles Angels,3,2,1,-5,3
Chicago White Sox,2,3,-1,5,3
Minnesota Twins,2,9,-7,-13,3
St. Louis Cardinals,9,2,7,13,3
Boston Red Sox,2,3,-1,-2,4
Texas Rangers,3,2,1,2,4
Chicago Cubs,6,10,-4,-12,6
Arizona Diamondbacks,10,6,4,6,4
Athletics,1,2,-1,6,4
Seattle Mariners,2,1,1,-6,4
Atlanta Braves,0,5,-5,-10,4
San Diego Padres,5,0,5,10,4
Minnesota Twins,0,9,-9,-22,4
Chicago White Sox,9,0,9,14,4
Kansas City Royals,11,1,10,4,4
Milwaukee Brewers,1,11,-10,-32,4
Boston Red Sox,5,8,-3,-5,5
Baltimore Orioles,8,5,3,9,5
Colorado Rockies,1,6,-5,-7,4
Philadelphia Phillies,6,1,5,10,4
Texas Rangers,3,14,-11,-9,5
Cincinnati Reds,14,3,11,7,4
New York Mets,10,4,6,5,4
Miami Marlins,4,10,-6,-4,5
Pittsburgh Pirates,1,6,-5,-7,5
Tampa Bay Rays,6,1,5,7,4
Washington Nationals,2,5,-3,-8,4
Toronto Blue Jays,5,2,3,-3,5
Los Angeles Angels,5,4,1,-4,4
St. Louis Cardinals,4,5,-1,12,4
San Francisco Giants,7,2,5,9,4
Houston Astros,2,7,-5,-4,4
Cleveland Guardians,2,7,-5,1,4
San Diego Padres,7,2,5,15,5
Detroit Tigers,9,6,3,-5,4
Seattle Mariners,6,9,-3,-9,5
Chicago Cubs,18,3,15,3,7
Athletics,3,18,-15,-9,5
Atlanta Braves,1,6,-5,-15,5
Los Angeles Dodgers,6,1,5,19,6
Texas Rangers,1,0,1,-8,6
Cincinnati Reds,0,1,-1,6,5
New York Mets,2,4,-2,3,5
Miami Marlins,4,2,2,-2,6
Pittsburgh Pirates,0,7,-7,-14,6
Tampa Bay Rays,7,0,7,14,5
Arizona Diamondbacks,7,5,2,8,5
New York Yankees,5,7,-2,20,4
Washington Nationals,3,5,-2,-10,5
Toronto Blue Jays,5,3,2,-1,6
Minnesota Twins,8,3,5,-17,5
Chicago White Sox,3,8,-5,9,5
Kansas City Royals,0,5,-5,-1,5
Milwaukee Brewers,5,0,5,-27,5
Los Angeles Angels,9,7,2,-2,5
St. Louis Cardinals,7,9,-2,10,5
San Francisco Giants,3,1,2,11,5
Houston Astros,1,3,-2,-6,5
Cleveland Guardians,0,7,-7,-6,5
San Diego Padres,7,0,7,22,6
Detroit Tigers,4,1,3,-2,5
Seattle Mariners,1,4,-3,-12,6
Chicago Cubs,7,4,3,6,8
Athletics,4,7,-3,-12,6
Atlanta Braves,1,3,-2,-17,6
Los Angeles Dodgers,3,1,2,21,7
Texas Rangers,1,0,1,-7,7
Cincinnati Reds,0,1,-1,5,6
Pittsburgh Pirates,4,2,2,-12,7
Tampa Bay Rays,2,4,-2,12,6
Kansas City Royals,2,3,-1,-2,6
Milwaukee Brewers,3,2,1,-26,6
Los Angeles Angels,5,12,-7,-9,6
St. Louis Cardinals,12,5,7,17,6
Minnesota Twins,6,1,5,-12,6
Chicago White Sox,1,6,-5,4,6
Washington Nationals,2,4,-2,-12,6
Toronto Blue Jays,4,2,2,1,7
Chicago Cubs,10,2,8,14,9
Athletics,2,10,-8,-20,7
Cleveland Guardians,2,5,-3,-9,6
San Diego Padres,5,2,3,25,7
Detroit Tigers,2,3,-1,-3,6
Seattle Mariners,3,2,1,-11,7
San Francisco Giants,6,3,3,14,6
