team_id,name,team_espn,team_abbr,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo,team_logo_espn
109,Arizona Diamondbacks,Arizona,ARI,mlb,#a71930,#000000,#e3d4ad,NA,NL West,Arizona,Diamondbacks,Arizona Diamondbacks,http://content.sportslogos.net/logos/54/50/thumbs/gnnnrbxcmjhdgeu6mavqk3945.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/ARI.png
144,Atlanta Braves,Atlanta,ATL,mlb,#ce1141,#13274f,NA,NA,NL East,Atlanta,Braves,Atlanta Braves,http://content.sportslogos.net/logos/54/51/thumbs/5171502018.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/ATL.png
110,Baltimore Orioles,Baltimore,BAL,mlb,#df4601,#000000,NA,NA,AL East,Baltimore,Orioles,Baltimore Orioles,http://content.sportslogos.net/logos/53/52/thumbs/5258002019.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/BAL.png
111,Boston Red Sox,Boston,BOS,mlb,#bd3039,#0d2b56,NA,NA,AL East,Boston,Red Sox,Boston Red Sox,http://content.sportslogos.net/logos/53/53/thumbs/c0whfsa9j0vbs079opk2s05lx.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/BOS.png
112,Chicago Cubs,Chicago Cubs,CHC,mlb,#cc3433,#0e3386,NA,NA,NL Central,Chicago,Cubs,Chicago Cubs,http://content.sportslogos.net/logos/54/54/thumbs/q9gvs07u72gc9xr3395u6jh68.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/CHC.png
145,Chicago White Sox,Chicago White Sox,CHW,mlb,#000000,#c4ced4,NA,NA,AL Central,Chicago,White Sox,Chicago White Sox,http://content.sportslogos.net/logos/53/55/thumbs/oxvkprv7v4inf5dgqdebp0yse.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/CHW.png
113,Cincinnati Reds,Cincinnati,CIN,mlb,#c6011f,#000000,NA,NA,NL Central,Cincinnati,Reds,Cincinnati Reds,http://content.sportslogos.net/logos/54/56/thumbs/z9e0rqit393ojiizsemd0t1hx.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/CIN.png
114,Cleveland Guardians,Cleveland,CLE,mlb,#e31937,#002b5c,NA,NA,AL Central,Cleveland,Guardians,Cleveland Guardians,http://content.sportslogos.net/logos/53/57/thumbs/5753472014.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/CLE.png
115,Colorado Rockies,Colorado,COL,mlb,#333366,#231f20,#c4ced4,NA,NL West,Colorado,Rockies,Colorado Rockies,http://content.sportslogos.net/logos/54/58/thumbs/5868712017.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/COL.png
116,Detroit Tigers,Detroit,DET,mlb,#0c2c56,#FF6600,NA,NA,AL Central,Detroit,Tigers,Detroit Tigers,http://content.sportslogos.net/logos/53/59/thumbs/5989642016.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/DET.png
117,Houston Astros,Houston,HOU,mlb,#002d62,#eb6e1f,NA,NA,AL West,Houston,Astros,Houston Astros,http://content.sportslogos.net/logos/53/4929/thumbs/492995032000.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/HOU.png
118,Kansas City Royals,Kansas City,KCR,mlb,#004687,#c09a5b,NA,NA,AL Central,Kansas City,Royals,Kansas City Royals,http://content.sportslogos.net/logos/53/62/thumbs/6283222019.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/KC.png
108,Los Angeles Angels,LA Angels,LAA,mlb,#ba0021,#003263,NA,NA,AL West,Los Angeles,Angels,Los Angeles Angels,http://content.sportslogos.net/logos/53/6521/thumbs/652143892016.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/LAA.png
119,Los Angeles Dodgers,LA Dodgers,LAD,mlb,#005a9c,#005a9c,#ef3e42,NA,NL West,Los Angeles,Dodgers,Los Angeles Dodgers,http://content.sportslogos.net/logos/54/63/thumbs/efvfv5b5g1zgpsf56gb04lthx.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/LAD.png
146,Miami Marlins,Miami,MIA,mlb,#ff6600,#0077c8,#ffd100,#000000,NL East,Miami,Marlins,Miami Marlins,http://content.sportslogos.net/logos/54/3637/thumbs/363775442019.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/MIA.png
158,Milwaukee Brewers,Milwaukee,MIL,mlb,#0a2351,#b6922e,NA,NA,NL Central,Milwaukee,Brewers,Milwaukee Brewers,http://content.sportslogos.net/logos/54/64/thumbs/6464742020.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/MIL.png
142,Minnesota Twins,Minnesota,MIN,mlb,#002b5c,#d31145,NA,NA,AL Central,Minnesota,Twins,Minnesota Twins,http://content.sportslogos.net/logos/53/65/thumbs/peii986yf4l42v3aa3hy0ovlf.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/MIN.png
121,New York Mets,NY Mets,NYM,mlb,#ff5910,#002d72,NA,NA,NL East,New York,Mets,New York Mets,http://content.sportslogos.net/logos/54/67/thumbs/m01gfgeorgvbfw15fy04alujm.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/NYM.png
147,New York Yankees,NY Yankees,NYY,mlb,#003087,#FFFFFF,#e4002b,NA,AL East,New York,Yankees,New York Yankees,http://content.sportslogos.net/logos/53/68/thumbs/1256.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/NYY.png
133,Athletics,Oakland,ATH,mlb,#003831,#efb21e,NA,NA,AL West,Oakland,Athletics,Oakland Athletics,http://content.sportslogos.net/logos/53/69/thumbs/6xk2lpc36146pbg2kydf13e50.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/OAK.png
143,Philadelphia Phillies,Philadelphia,PHI,mlb,#284898,#e81828,NA,NA,NL East,Philadelphia,Phillies,Philadelphia Phillies,http://content.sportslogos.net/logos/54/70/thumbs/7075792019.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/PHI.png
134,Pittsburgh Pirates,Pittsburgh,PIT,mlb,#fdb827,#000000,NA,NA,NL Central,Pittsburgh,Pirates,Pittsburgh Pirates,http://content.sportslogos.net/logos/54/71/thumbs/7112502014.gif,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/PIT.png
