Year,Hit_Type,Hits_Per_Game,Percent
2009,Single,6.1,66.5938864628821
2009,Double,1.8,19.650655021834062
2009,Triple,0.3,3.2751091703056767
2009,Home Run,0.96,10.480349344978166
2010,Single,6.0,66.3716814159292
2010,Double,1.8,19.911504424778766
2010,Triple,0.3,3.3185840707964607
2010,Home Run,0.94,10.398230088495577
2011,Single,5.9,70.07125890736341
2011,Double,1.7,20.19002375296912
2011,Triple,0.3,3.5629453681710213
2011,Home Run,0.52,6.175771971496437
2012,Single,5.8,69.71153846153845
2012,Double,1.7,20.432692307692307
2012,Triple,0.3,3.6057692307692304
2012,Home Run,0.52,6.25
2013,Single,5.7,70.37037037037037
2013,Double,1.6,19.753086419753085
2013,Triple,0.3,3.703703703703703
2013,Home Run,0.5,6.1728395061728385
2014,Single,5.6,70.26348808030114
2014,Double,1.6,20.075282308657467
2014,Triple,0.3,3.7641154328732753
2014,Home Run,0.47,5.897114178168131
2015,Single,5.6,69.91260923845192
2015,Double,1.6,19.97503121098627
2015,Triple,0.3,3.7453183520599254
2015,Home Run,0.51,6.367041198501873
2016,Single,5.5,69.5322376738306
2016,Double,1.5,18.963337547408344
2016,Triple,0.3,3.792667509481668
2016,Home Run,0.61,7.711757269279393
2017,Single,5.4,67.9245283018868
2017,Double,1.5,18.867924528301884
2017,Triple,0.3,3.7735849056603774
2017,Home Run,0.75,9.433962264150942
2018,Single,5.3,67.51592356687898
2018,Double,1.4,17.834394904458602
2018,Triple,0.3,3.8216560509554145
2018,Home Run,0.85,10.828025477707008
2019,Single,5.2,66.32653061224491
2019,Double,1.4,17.857142857142858
2019,Triple,0.3,3.826530612244898
2019,Home Run,0.94,11.989795918367346
2020,Single,5.1,66.23376623376622
2020,Double,1.4,18.18181818181818
2020,Triple,0.2,2.5974025974025974
2020,Home Run,1.0,12.987012987012985
2021,Single,5.0,66.13756613756613
2021,Double,1.3,17.195767195767196
2021,Triple,0.2,2.6455026455026456
2021,Home Run,1.06,14.02116402116402
2022,Single,4.9,64.9867374005305
2022,Double,1.3,17.24137931034483
2022,Triple,0.2,2.6525198938992043
2022,Home Run,1.14,15.119363395225463
2023,Single,4.8,65.48431105047749
2023,Double,1.2,16.37107776261937
2023,Triple,0.2,2.728512960436562
2023,Home Run,1.13,15.416098226466573
