Team,Venue,Year,Park Factor,R,HR
Colorado Rockies,Coors Field,2025,112,125,100
 Athletics,Sutter Health Park,2025,110,121,115
Baltimore Orioles,Oriole Park at Camden Yards,2025,107,114,137
Los Angeles Dodgers,Dodger Stadium,2025,107,114,147
Boston Red Sox,Fenway Park,2025,105,110,88
Toronto Blue Jays,Rogers Centre,2025,105,110,122
Arizona Diamondbacks,Chase Field,2025,105,110,98
Philadelphia Phillies,Citizens Bank Park,2025,104,108,113
Minnesota Twins,Target Field,2025,102,104,94
Tampa Bay Rays,George M. Steinbrenner Field,2025,102,104,122
Los Angeles Angels,Angel Stadium,2025,102,104,111
Detroit Tigers,Comerica Park,2025,101,102,102
Chicago Cubs,Wrigley Field,2025,100,100,109
Washington Nationals,Nationals Park,2025,100,100,92
Cincinnati Reds,Great American Ball Park,2025,99,98,113
St. Louis Cardinals,Busch Stadium,2025,99,98,86
Atlanta Braves,Truist Park,2025,98,96,93
New York Yankees,Yankee Stadium,2025,98,96,118
San Francisco Giants,Oracle Park,2025,98,96,78
Pittsburgh Pirates,PNC Park,2025,98,96,71
Houston Astros,Daikin Park,2025,98,96,105
New York Mets,Citi Field,2025,97,94,105
Chicago White Sox,Rate Field,2025,97,94,99
Cleveland Guardians,Progressive Field,2025,97,94,91
San Diego Padres,Petco Park,2025,96,92,87
Miami Marlins,loanDepot park,2025,95,90,80
Milwaukee Brewers,American Family Field,2025,93,86,83
Kansas City Royals,Kauffman Stadium,2025,93,86,69
Seattle Mariners,T-Mobile Park,2025,90,81,96
Texas Rangers,Globe Life Field,2025,89,79,68
