game_pk,stadium,temperature,condition,wind
778563,Tokyo Dome,72,Dome,"0 mph, None"
778564,Tokyo Dome,72,Dome,"0 mph, None"
778557,Yankee Stadium,48,Sunny,"17 mph, Out To LF"
778556,Rogers Centre,68,Roof Closed,"0 mph, None"
778553,Globe Life Field,74,Roof Closed,"0 mph, None"
778555,Nationals Park,57,Sunny,"5 mph, L To R"
778558,Kauffman Stadium,76,Partly Cloudy,"12 mph, R To L"
778559,Daikin Park,73,Roof Closed,"0 mph, None"
778561,Great American Ball Park,61,Partly Cloudy,"10 mph, R To L"
778545,Petco Park,66,Partly Cloudy,"9 mph, L To R"
778554,Rate Field,54,Cloudy,"11 mph, In From RF"
778562,loanDepot park,76,Sunny,"7 mph, In From LF"
778551,Busch Stadium,63,Cloudy,"8 mph, In From RF"
778546,Dodger Stadium,69,Partly Cloudy,"3 mph, Out To RF"
778552,Chase Field,87,Clear,"6 mph, L To R"
778547,T-Mobile Park,55,Roof Closed,"0 mph, Calm"
778560,George M. Steinbrenner Field,84,Partly Cloudy,"14 mph, R To L"
778549,Rogers Centre,72,Roof Closed,"0 mph, None"
778548,loanDepot park,77,Partly Cloudy,"15 mph, In From LF"
778550,Globe Life Field,74,Roof Closed,"0 mph, None"
778518,Daikin Park,73,Roof Closed,"0 mph, None"
778543,Chase Field,80,Partly Cloudy,"7 mph, L To R"
778541,T-Mobile Park,52,Roof Closed,"6 mph, Out To LF"
778542,Petco Park,59,Partly Cloudy,"8 mph, L To R"
778544,Dodger Stadium,61,Cloudy,"7 mph, Out To CF"
778538,Yankee Stadium,78,Partly Cloudy,"15 mph, Out To CF"
778534,Rate Field,67,Partly Cloudy,"14 mph, In From RF"
778528,Busch Stadium,68,Cloudy,"10 mph, Out To LF"
778536,Rogers Centre,68,Roof Closed,"0 mph, None"
778535,Nationals Park,81,Overcast,"7 mph, Out To RF"
778529,Kauffman Stadium,77,Partly Cloudy,"17 mph, R To L"
778540,Great American Ball Park,76,Partly Cloudy,"14 mph, In From RF"
778537,George M. Steinbrenner Field,84,Partly Cloudy,"7 mph, In From CF"
778539,loanDepot park,72,Roof Closed,"0 mph, None"
778531,Globe Life Field,74,Roof Closed,"0 mph, None"
778530,Daikin Park,73,Roof Closed,"0 mph, None"
